ayah	status	sha256	reviewer	date	note
45	verified	b8e21ecbd782eac8834383eff5e52aae003726169da334c4eef6506e43ee4fd0	AI (double) + owner sample	2026-09-25	ADR 0006
46	verified	e7d38f151716be13d3bd887f612c1fe6022fb0b0864ce9231d450b24c6b1918c	AI (double) + owner sample	2026-09-25	ADR 0006
47	verified	8b9eb7c816722a3f9148b64f6f0c00b20364b56d98a5be1b56bd393cadb047f3	AI (double) + owner sample	2026-09-25	ADR 0006
48	verified	bd9131155a409da047f912c451e4911bfccc8e34185f473e5b6771a5235929de	AI (double) + owner sample	2026-09-25	ADR 0006
49	verified	d7e01cda7d06d64b5bd91e3c9c3e27b8457ddd4fb2a1d95c58bc3829c5acab85	AI (double) + owner sample	2026-09-25	ADR 0006
50	verified	4ff5ee7ddebea575f35f9b975308666353d1c197a1d1b7e5e7fb620a199f5382	AI (double) + owner sample	2026-09-25	ADR 0006
51	verified	84eb550be955182e5a53e50edb1fbd53ee020c8c6c556b9289bb7b5f65ffe3e0	AI (double) + owner sample	2026-09-25	ADR 0006
52	verified	1b32455cc46c782312fedb46b26cf0e7aa3243efc820ef28cacc53e2cfce6434	AI (double) + owner sample	2026-09-25	ADR 0006
53	verified	040e84e45959a5748a830447e8b6aa6377a49cd490ecd28802e9562cbc9860eb	AI (double) + owner sample	2026-09-25	ADR 0006
54	verified	05c8cf99586e90b8af3da87c1b87cf36b2508a5d937521fe4e52aded0c0d1586	AI (double) + owner sample	2026-09-25	ADR 0006
55	verified	22201879c30272e889c8afb3fe47311bed28992555f88d1db7114bfe7408c6ad	AI (double) + owner sample	2026-09-25	ADR 0006
56	verified	e0b29097de18c16853303813903b55a9da246d78e3a71b44fadb7a3251b83aff	AI (double) + owner sample	2026-09-25	ADR 0006
57	verified	250175b311f3e958204aeba6d0a278670b41f213fc21ff9baedb7a2dbcb8c4b4	AI (double) + owner sample	2026-09-25	ADR 0006
58	verified	f628c085448eda06fe0af6636078a521fb48478bd690fbf25feb0e290c5269b5	AI (double) + owner sample	2026-09-25	ADR 0006
59	verified	da117ee80f6bced76d003087d3f5624bdb94c58370a615e4a32dc089cd0b7ae4	AI (double) + owner sample	2026-09-25	ADR 0006
60	verified	81c6d173dddaffded42fc5c022ffa9ac99139095bb1e2198884a3e88960e8166	AI (double) + owner sample	2026-09-25	ADR 0006
61	pending				
62	verified	b0f4406ec7f5e83b7fa383c250a3f16410ee6ca633b0237a20e6187ac4dcdcfc	AI (double) + owner sample	2026-09-25	ADR 0006
63	verified	3454e5ba0c31c285ca6827c636425a741a3c0e52651f52f67ffd17038b63d108	AI (double) + owner sample	2026-09-25	ADR 0006
64	verified	10710df8af9f3ee11fc28cccc693c87a26ef3801cb7d7351ca5cc0b183d654b2	AI (double) + owner sample	2026-09-25	ADR 0006
65	verified	04b1e33dfea717f9fc5c331d24ae41ed9d7cdc8db2b3b5efc44dc444188f733e	AI (double) + owner sample	2026-09-25	ADR 0006
66	verified	e9ab26dd92d644f6b2acc89af4d53eee0a0de061b2275f9e71b106a50a376cd6	AI (double) + owner sample	2026-09-25	ADR 0006
67	verified	962e674f220f3979c92a8d29b07be18fd9206c3796e9bdf582a6ecc9bfd80746	AI (double) + owner sample	2026-09-25	ADR 0006
68	verified	d90c5030293448c72baf44651647a0ef6b98acb4e5d011dc58c3794e12e7d05b	AI (double) + owner sample	2026-09-25	ADR 0006
69	verified	5a79dbd0741c8d91d21dbf109f531ca924e5d853cb9733b687503d6b91101f64	AI (double) + owner sample	2026-09-25	ADR 0006
70	verified	a0f01b79ec7a78df667663388d396069628dfdfe2f04b2453c02970d9492b360	AI (double) + owner sample	2026-09-25	ADR 0006
71	verified	2cd8a230de353fc870c577d81a651c3fa6d972c6ac74ceb6a420f1414943adfb	AI (double) + owner sample	2026-09-25	ADR 0006
72	pending				
73	verified	f89944521303d9ec39f2125b656399eecb4d1f87dfbb43e05af31e4659243e6e	AI (double) + owner sample	2026-09-25	ADR 0006
74	verified	6e2c8209e37ac4ebda3b7daf1f1b1058d6c07a9b644cf6c993c15d52e3bf15d0	AI (double) + owner sample	2026-09-25	ADR 0006
75	verified	37702d4a4f84392d5ccca7180c74131daa088d27aad0bcd1e494fa0c8af8ee63	AI (double) + owner sample	2026-09-25	ADR 0006
76	verified	ce1673b955e293b7f58e48179c1c20c627519e4f6d3d6e3f8996ab77002a5761	AI (double) + owner sample	2026-09-25	ADR 0006
77	verified	d4ffa21bb35bca7fca951ee65aca7282b0168810a25f3d5798d13d36d83c59ac	AI (double) + owner sample	2026-09-25	ADR 0006
78	verified	4e7c970f9eb7f39f14163e8fc407aa3cddc7af53c8f15bcefb8598e6708e2734	AI (double) + owner sample	2026-09-25	ADR 0006
79	verified	0295c1c2a8f7b252dd346ac559e2d9da04cdd18d7118c41b944f70284c5096e2	AI (double) + owner sample	2026-09-25	ADR 0006
80	verified	99c66e60a16a2e4332e021870c8e9a6c5dd1ed1fb8b2904a5ea4ba2e1b671e43	AI (double) + owner sample	2026-09-25	ADR 0006
81	verified	aef966b448a4fb464ef485888e4d5b38d5fb62fd7d4125ac21aaa6b24c83981b	AI (double) + owner sample	2026-09-25	ADR 0006
82	verified	69877ed81c6d262c2fe09a707ee3f8a5ea720301a1e53298f5492ab1bbce6011	AI (double) + owner sample	2026-09-25	ADR 0006
83	verified	82d244df55982aeab5b3243eec2fa87de2befc8d75afc23b3012423fe36319be	AI (double) + owner sample	2026-09-25	ADR 0006
84	verified	fbd62824533f5897ab2214cb5ccbeaf6fb892f1d7cf237d78d3f57b5775338fa	AI (double) + owner sample	2026-09-25	ADR 0006
85	verified	464cdc5225764aaeaec515fa6f987fe1cce1ef156fff5ad1fd4bc3c37b8f49cd	AI (double) + owner sample	2026-09-25	ADR 0006
86	verified	75a40897ad7aabd20c70066df3e39a7740942f0ec0e3330c5dc8f16e9bdc5295	AI (double) + owner sample	2026-09-25	ADR 0006
87	verified	3d463e62ba4b29034c5c921d7909ebb81a5976b520df78b2179bf5dd0a53b9e8	AI (double) + owner sample	2026-09-25	ADR 0006
88	verified	190bfda7d49859d25f243d40a19e173934a0dfca1ed8b48aaae8f86ce4d5b158	AI (double) + owner sample	2026-09-25	ADR 0006
89	verified	3b0dce6c2316443c4c6aa3f3e15ce04d661ed5eaaf33a8f7337d16b117549655	AI (double) + owner sample	2026-09-25	ADR 0006
90	verified	61382e4f4e2581f8daa220da267a9318dac61374b2f327e80fadde6b3f44bd4a	AI (double) + owner sample	2026-09-25	ADR 0006
91	verified	9f80702c88630bb06c3b27221aa94e4702af551bfca0df11b7a4e4bf1f9d7db1	AI (double) + owner sample	2026-09-25	ADR 0006
92	verified	45f516e594580db65ef1867824806487fc06c08f4f4377402112b4a846163052	AI (double) + owner sample	2026-09-25	ADR 0006
93	verified	2bad845f3815e15c8ac51be8d48721affba9b601a073832412061b8101cb6c4c	AI (double) + owner sample	2026-09-25	ADR 0006
94	verified	409cc4cbd96f0b57a3e0761f3c18de6f1f486e9578abae7ae1a145a8707e1f99	AI (double) + owner sample	2026-09-25	ADR 0006
95	verified	6beb581bf52c3840fc4444960dd348a2c7557160803c22bf5995c72eb33cca17	AI (double) + owner sample	2026-09-25	ADR 0006
96	verified	540a9678785e2807d1659641923181fc84ff7b177bf98f6087cea81d0f93e125	AI (double) + owner sample	2026-09-25	ADR 0006
97	verified	87222aa7a4daca4a2f06cd780124f71a88528392118390465314d03470bd8833	AI (double) + owner sample	2026-09-25	ADR 0006
98	verified	0c2c9402d631677cce6f2c1aa6dd08c8b2e17a1b046deedddf413daf5d39ae8b	AI (double) + owner sample	2026-09-25	ADR 0006
99	verified	e5f400122ad79faa1c50136dbf49bccfeac8d07fd613927fcbac5ac4079e1e1f	AI (double) + owner sample	2026-09-25	ADR 0006
100	verified	79a2220ee5f78896442ff7632098d41f2266955743146428d1c13fb04b74d369	AI (double) + owner sample	2026-09-25	ADR 0006
101	verified	d2f0c930b734dae35ba01f00587cdf50c29b340f7a080d17c2e50c25f13c4b7f	AI (double) + owner sample	2026-09-25	ADR 0006
102	verified	e1410236416c21a978d5bd7c2dd13a2e3fdddd834d9b58705bfba15dca4a0efb	AI (double) + owner sample	2026-09-25	ADR 0006
103	verified	719de1f1c36c6058d98b275647c9aa6b52dc2117889e294c73285036b30e6d91	AI (double) + owner sample	2026-09-25	ADR 0006
104	verified	06065151b9db1975b24d819f9203405a1441eb03f44cc6f69fbe80331843045d	AI (double) + owner sample	2026-09-25	ADR 0006
105	verified	16eedbdec6ac2525235bc07b4fe3423dce537916b816dbd8adc54183f19c0f9e	AI (double) + owner sample	2026-09-25	ADR 0006
106	verified	14bdee22e098b1417eb13234486edea28fee7495e7759513eb893e5a3d365c9d	AI (double) + owner sample	2026-09-25	ADR 0006
107	verified	a5ca739d186245acc3595156ddb78ced294001a7931b6322a638a18e04a9c63a	AI (double) + owner sample	2026-09-25	ADR 0006
